Date,Description,Amount,Category
2025-12-01,Landlord Rent,900.00,Housing
2025-12-02,Whole Foods Market,85.50,Groceries
2025-12-05,Netflix Subscription,15.99,Entertainment
2025-12-07,Shell Gas Station,55.00,Transport
2025-12-10,Steam Game Sale,42.50,Entertainment
2025-12-12,Local Farmers Market,30.00,Groceries
2025-12-15,Electric Bill,110.00,Utilities
2025-12-18,Amazon - New Shoes,75.00,Shopping
2025-12-20,Starbucks Coffee,6.50,Groceries
2025-12-22,Gym Membership,50.00,Health
2025-12-24,Christmas Dinner Groceries,120.00,Groceries
2025-12-27,Uber Ride,22.00,Transport
2025-12-28,Internet Bill,70.00,Utilities
2025-12-30,Cinema Tickets,30.00,Entertainment
